name,website,domain,city,state,category,phone,public_email,source_type,source_url,raw_source_id,acquired_at
24 Hour Fitness,https://www.24hourfitness.com/gyms/el-cerrito-ca/el-cerrito-supersport,24hourfitness.com,"","",gyms,+1 510-900-6279,"",openstreetmap,https://www.openstreetmap.org/node/8758935570,8758935570,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/Website/Club/00064,24hourfitness.com,Anaheim,CA,gyms,+1-714-525-9924,"",openstreetmap,https://www.openstreetmap.org/node/186386934,186386934,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/gyms/monterey-park-ca/monterey-park-sport,24hourfitness.com,Monterey Park,CA,gyms,+1 626-537-2144,"",openstreetmap,https://www.openstreetmap.org/node/13341775164,13341775164,2026-04-28 07:53:43.650201
24 Hour Fitness,24go.co,24go.co,Sacramento,CA,gyms,+1 916 658 1626,"",openstreetmap,https://www.openstreetmap.org/node/313991371,313991371,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/,24hourfitness.com,San Diego,CA,gyms,+1 858-485-7177,"",openstreetmap,https://www.openstreetmap.org/node/31816091,31816091,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/gyms/arcadia-ca/arcadia-sport,24hourfitness.com,Arcadia,CA,gyms,+1 626-446-3000,"",openstreetmap,https://www.openstreetmap.org/node/4617511926,4617511926,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/Website/Club/00930,24hourfitness.com,San Jose,CA,gyms,+1 408-513-3124,"",openstreetmap,https://www.openstreetmap.org/node/5307516173,5307516173,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com,24hourfitness.com,Compton,CA,gyms,+1-310-735-9114,"",openstreetmap,https://www.openstreetmap.org/node/351905071,351905071,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/FindClubDetail.mvc?rt=2&clubid=00887,24hourfitness.com,Sunnyvale,"",gyms,+1 408 220 6588,"",openstreetmap,https://www.openstreetmap.org/node/1285762125,1285762125,2026-04-28 07:53:43.650201
24 Hour Fitness,http://24hourfitness.com,24hourfitness.com,"","",gyms,+1 510-278-9744,"",openstreetmap,https://www.openstreetmap.org/node/119748183,119748183,2026-04-28 07:53:43.650201
24 Hour Fitness Sport,https://www.24hourfitness.com/gyms/santa-fe-springs-ca/santa-fe-springs-sport,24hourfitness.com,Santa Fe Springs,CA,gyms,+1-562-407-2424,"",openstreetmap,https://www.openstreetmap.org/node/456773299,456773299,2026-04-28 07:53:43.650201
24 Hour Fitness Super Sport,https://www.24hourfitness.com/gyms/san-diego-ca/navajo-super-sport,24hourfitness.com,San Diego,CA,gyms,+1 619 916 0336,"",openstreetmap,https://www.openstreetmap.org/node/9978796240,9978796240,2026-04-28 07:53:43.650201
24 Hour Fitness Super Sport,https://www.24hourfitness.com/Website/Club/00811,24hourfitness.com,San Jose,CA,gyms,+1 408-490-3019,"",openstreetmap,https://www.openstreetmap.org/node/220942498,220942498,2026-04-28 07:53:43.650201
24 Hour Fitness Super Sport,https://www.24hourfitness.com/gyms/cerritos-ca/cerritos-super-sport,24hourfitness.com,Cerritos,CA,gyms,+1-562-263-5154,"",openstreetmap,https://www.openstreetmap.org/node/455801886,455801886,2026-04-28 07:53:43.650201
423 Yoga,https://www.423yoga.com/,423yoga.com,"","",gyms,+1 310-879-8662,"",openstreetmap,https://www.openstreetmap.org/node/9194649900,9194649900,2026-04-28 07:53:43.650201
9Round,https://www.9round.com/fitness/San-Jose-CA-x2424,9round.com,San Jose,CA,gyms,+1 408-476-2243,"",openstreetmap,https://www.openstreetmap.org/node/5761783715,5761783715,2026-04-28 07:53:43.650201
9Round,https://www.9round.com/,9round.com,Milpitas,CA,gyms,+1 408-493-6328,"",openstreetmap,https://www.openstreetmap.org/node/8645363095,8645363095,2026-04-28 07:53:43.650201
9Round,https://www.9round.com,9round.com,"","",gyms,+1 916 400 9913,"",openstreetmap,https://www.openstreetmap.org/node/10088042718,10088042718,2026-04-28 07:53:43.650201
9Round Fitness,https://www.9round.com/fitness/Orange-CA-x9222,9round.com,Orange,CA,gyms,+1-714-721-9942,"",openstreetmap,https://www.openstreetmap.org/node/183178334,183178334,2026-04-28 07:53:43.650201
A7 Personal Training,https://A7PERSONALTRAINING.com,A7PERSONALTRAINING.com,Corona Del Mar,CA,gyms,+1 2149349541,"",openstreetmap,https://www.openstreetmap.org/node/13009875000,13009875000,2026-04-28 07:53:43.650201
ABC's of Dance,https://www.abcsofdanceweho.com/,abcsofdanceweho.com,West Hollywood,CA,gyms,+1-310-923-0888,info@abcsofdanceweho.com,openstreetmap,https://www.openstreetmap.org/node/5247316841,5247316841,2026-04-28 07:53:43.650201
AC4 Fitness,https://www.ac4fitness.com/santa-barbara/,ac4fitness.com,Santa Barbara,CA,gyms,+1 805-845-4348,info@ac4fitness.com,openstreetmap,https://www.openstreetmap.org/node/13321435023,13321435023,2026-04-28 07:53:43.650201
AC4 Fitness,https://www.ac4fitness.com/goleta/,ac4fitness.com,Goleta,CA,gyms,+1 805-845-4348,info@ac4fitness.com,openstreetmap,https://www.openstreetmap.org/node/13416593862,13416593862,2026-04-28 07:53:43.650201
AK Martial Arts & Fitness,https://akkarate.com/,akkarate.com,"","",gyms,+1-760-828-7165,"",openstreetmap,https://www.openstreetmap.org/node/12451468315,12451468315,2026-04-28 07:53:43.650201
Active Age Fitness,http://www.activeagefitness.com/,activeagefitness.com,Sunnyvale,CA,gyms,+1 408-524-0600,"",openstreetmap,https://www.openstreetmap.org/node/1843364383,1843364383,2026-04-28 07:53:43.650201
Albany YMCA,https://ymcaeastbay.org/locations/albany-ymca,ymcaeastbay.org,"","",gyms,+1 510-525-1130,"",openstreetmap,https://www.openstreetmap.org/node/10223945434,10223945434,2026-04-28 07:53:43.650201
Align,https://www.experiencealign.com/,experiencealign.com,Redding,CA,gyms,+1 530-961-3983,info@experiencealign.com,openstreetmap,https://www.openstreetmap.org/node/510894816,510894816,2026-04-28 07:53:43.650201
Alliance Jiu-Jitsu,https://alliancesandiego.com/,alliancesandiego.com,San Diego,CA,gyms,+1-858-549-1226,"",openstreetmap,https://www.openstreetmap.org/node/13726567198,13726567198,2026-04-28 07:53:43.650201
Alpine Climbing Adventure Fitness,https://climbatalpine.com,climbatalpine.com,Ripon,CA,gyms,+1-209-509-4077,climbon@climbatalpine.com,openstreetmap,https://www.openstreetmap.org/node/1316582078,1316582078,2026-04-28 07:53:43.650201
American Swim Academy,https://americanswimacademy.com/,americanswimacademy.com,Fremont,CA,gyms,+1-510-657-7946,Fremont@SwimASA.com,openstreetmap,https://www.openstreetmap.org/node/10687241962,10687241962,2026-04-28 07:53:43.650201
Angels Camp Body Shop,https://angelscampbodyshop.com/,angelscampbodyshop.com,Angels Camp,CA,gyms,+1-209-213-9753,jen@angelscampbodyshop.com,openstreetmap,https://www.openstreetmap.org/node/11689672320,11689672320,2026-04-28 07:53:43.650201
Anthony Silva Fitness,https://anthonysilvafitness.com,anthonysilvafitness.com,"","",gyms,+1 415-234-0619,"",openstreetmap,https://www.openstreetmap.org/node/12337873692,12337873692,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2863/roseville-ca-95661/,anytimefitness.com,Roseville,CA,gyms,+1 916-789-0110,"",openstreetmap,https://www.openstreetmap.org/node/11149072610,11149072610,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4502/pacific-grove-ca-93950/,anytimefitness.com,Pacific Grove,CA,gyms,+1 831-324-4004,"",openstreetmap,https://www.openstreetmap.org/node/624105771,624105771,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3967/ramona-ca-92065/,anytimefitness.com,Ramona,CA,gyms,+1 760-315-4040,"",openstreetmap,https://www.openstreetmap.org/node/1067716835,1067716835,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4906/santa-cruz-ca-95060/,anytimefitness.com,Santa Cruz,CA,gyms,+1 831-777-3999,"",openstreetmap,https://www.openstreetmap.org/node/35026949,35026949,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/5174/rocklin-ca-95765/,anytimefitness.com,Rocklin,CA,gyms,+1 916-435-7900,"",openstreetmap,https://www.openstreetmap.org/node/11298739965,11298739965,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3849/el-segundo-ca-90245/,anytimefitness.com,El Segundo,CA,gyms,+1 424-277-9000,"",openstreetmap,https://www.openstreetmap.org/node/9918001001,9918001001,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4371/marina-ca-93933/,anytimefitness.com,Marina,CA,gyms,+1 831-917-9499,"",openstreetmap,https://www.openstreetmap.org/node/7090056079,7090056079,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/5302/galt-ca-95632/,anytimefitness.com,Galt,CA,gyms,+1 209-314-1600,"",openstreetmap,https://www.openstreetmap.org/node/7520346639,7520346639,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2373/hermosa-beach-ca-90254/,anytimefitness.com,Hermosa Beach,CA,gyms,+1 310-303-3334,"",openstreetmap,https://www.openstreetmap.org/node/9718919024,9718919024,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2995/novato-ca-94947/,anytimefitness.com,Novato,CA,gyms,+1 415-898-1166,"",openstreetmap,https://www.openstreetmap.org/node/692054384,692054384,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/956/jackson-ca-95642/,anytimefitness.com,Jackson,CA,gyms,+1 209-223-3636,"",openstreetmap,https://www.openstreetmap.org/node/9666103530,9666103530,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4565/folsom-ca-95630/,anytimefitness.com,Folsom,CA,gyms,+1 916-741-2030,"",openstreetmap,https://www.openstreetmap.org/node/12624448814,12624448814,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2980/santa-clara-ca-95050/,anytimefitness.com,Santa Clara,CA,gyms,+1 408-244-2884,"",openstreetmap,https://www.openstreetmap.org/node/10068029357,10068029357,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3154/thousand-oaks-ca-91320/,anytimefitness.com,Thousand Oaks,CA,gyms,+1 805-379-9909,"",openstreetmap,https://www.openstreetmap.org/node/11369158673,11369158673,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/5309/long-beach-ca-90808/,anytimefitness.com,Long Beach,CA,gyms,+1 562-270-9755,"",openstreetmap,https://www.openstreetmap.org/node/3001839824,3001839824,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4922/san-jose-ca-95136/,anytimefitness.com,San Jose,CA,gyms,+1 408-790-1790,"",openstreetmap,https://www.openstreetmap.org/node/2340812036,2340812036,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4872/carmel-by-the-sea-ca-93923/,anytimefitness.com,Carmel-By-The-Sea,CA,gyms,+1 831-293-8338,"",openstreetmap,https://www.openstreetmap.org/node/11142760588,11142760588,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/1491/seal-beach-ca-90740/,anytimefitness.com,Seal Beach,CA,gyms,+1 562-598-2100,"",openstreetmap,https://www.openstreetmap.org/node/5040076621,5040076621,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/1801/tarzana-ca-91356/,anytimefitness.com,Tarzana,CA,gyms,+1 818-642-5277,"",openstreetmap,https://www.openstreetmap.org/node/11749287831,11749287831,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4224/grass-valley-ca-95945/,anytimefitness.com,Grass Valley,CA,gyms,+1 530-652-4680,"",openstreetmap,https://www.openstreetmap.org/node/860830682,860830682,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4222/pinole-ca-94564/,anytimefitness.com,Pinole,CA,gyms,+1 510-222-5646,"",openstreetmap,https://www.openstreetmap.org/node/10858683561,10858683561,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3063/oxnard-ca-93030/,anytimefitness.com,Oxnard,CA,gyms,+1 805-983-7770,"",openstreetmap,https://www.openstreetmap.org/node/7771812875,7771812875,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4472/pacifica-ca-94044/,anytimefitness.com,Pacifica,CA,gyms,+1 650-808-7745,"",openstreetmap,https://www.openstreetmap.org/node/11847450389,11847450389,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3170/Berkeley-CA-94707/,anytimefitness.com,Berkeley,CA,gyms,+1 510-526-4900,"",openstreetmap,https://www.openstreetmap.org/node/2580394139,2580394139,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2589/la-canada-flintridge-ca-91011/,anytimefitness.com,La Canada Flintridge,CA,gyms,+1 818-928-1314,"",openstreetmap,https://www.openstreetmap.org/node/5760795591,5760795591,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3438/livermore-ca-94550/,anytimefitness.com,Livermore,CA,gyms,+1 925-292-7196,"",openstreetmap,https://www.openstreetmap.org/node/9121305165,9121305165,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/341/Rancho-Cucamonga-CA-91730/,anytimefitness.com,Rancho Cucamonga,CA,gyms,+1 909-484-6880,"",openstreetmap,https://www.openstreetmap.org/node/7168500058,7168500058,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/locations/san-leandro-california-3614,anytimefitness.com,San Leandro,CA,gyms,+1-510-357-7711,"",openstreetmap,https://www.openstreetmap.org/node/12310506411,12310506411,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/1783/loomis-ca-95650/,anytimefitness.com,Loomis,CA,gyms,+1-916-660-0700,"",openstreetmap,https://www.openstreetmap.org/node/1354439213,1354439213,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2149/orcutt-ca-93455/,anytimefitness.com,Santa Maria,CA,gyms,+1 805-938-1300,"",openstreetmap,https://www.openstreetmap.org/node/2209241492,2209241492,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2417/morgan-hill-ca-95037/,anytimefitness.com,Morgan Hill,CA,gyms,+1 408-776-8980,"",openstreetmap,https://www.openstreetmap.org/node/2140762847,2140762847,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3996/El-Cajon-CA-92019/,anytimefitness.com,San Diego,CA,gyms,+1 619-741-3211,"",openstreetmap,https://www.openstreetmap.org/node/9203987289,9203987289,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4501/salinas-ca-93905/,anytimefitness.com,Salinas,CA,gyms,+1 831-751-1622,"",openstreetmap,https://www.openstreetmap.org/node/7134331698,7134331698,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4309/glendale-ca-91205/,anytimefitness.com,Glendale,CA,gyms,+1 818-584-7700,"",openstreetmap,https://www.openstreetmap.org/node/11539165326,11539165326,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/5042/sebastopol-ca-95472/,anytimefitness.com,Sebastopol,CA,gyms,+1 707-340-6756,"",openstreetmap,https://www.openstreetmap.org/node/11280711502,11280711502,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3167/hollister-ca-95023/,anytimefitness.com,Hollister,CA,gyms,+1 831-636-4699,"",openstreetmap,https://www.openstreetmap.org/node/12771652780,12771652780,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3393/chatsworth-ca-91311/,anytimefitness.com,Chatsworth,CA,gyms,+1 818-477-2323,"",openstreetmap,https://www.openstreetmap.org/node/431674186,431674186,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2615/redding-ca-96001/,anytimefitness.com,Redding,CA,gyms,+1 530-255-8087,"",openstreetmap,https://www.openstreetmap.org/node/7262587459,7262587459,2026-04-28 07:53:43.650201
Anytime Fitness,https://anytimefitness.com,anytimefitness.com,Santa Rosa,ca,gyms,+1-707-578-4900,"",openstreetmap,https://www.openstreetmap.org/node/13186349150,13186349150,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2547/petaluma-ca-94954/,anytimefitness.com,Petaluma,CA,gyms,+1 707-779-2155,"",openstreetmap,https://www.openstreetmap.org/node/6361629574,6361629574,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3705/simi-valley-ca-93065/,anytimefitness.com,Simi Valley,CA,gyms,+1 805-522-5175,"",openstreetmap,https://www.openstreetmap.org/node/11835762792,11835762792,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4356/sausalito-ca-94965/,anytimefitness.com,Sausalito,CA,gyms,+1 415-480-3838,"",openstreetmap,https://www.openstreetmap.org/node/6778998197,6778998197,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2542/culver-city-ca-90230/,anytimefitness.com,Culver City,CA,gyms,+1 424-672-3488,"",openstreetmap,https://www.openstreetmap.org/node/8462756072,8462756072,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/1779/ukiah-ca-95482/,anytimefitness.com,Ukiah,CA,gyms,+1 707-468-9999,"",openstreetmap,https://www.openstreetmap.org/node/6582726871,6582726871,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/locations/sonoma-california-3009,anytimefitness.com,Sonoma,CA,gyms,+1 707-938-7154,"",openstreetmap,https://www.openstreetmap.org/node/2834991774,2834991774,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4916/salinas-ca-93901/,anytimefitness.com,Salinas,CA,gyms,+1 831-484-7878,"",openstreetmap,https://www.openstreetmap.org/node/11208974237,11208974237,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2687/redlands-ca-92374/,anytimefitness.com,Redlands,CA,gyms,+1 909-798-5000,"",openstreetmap,https://www.openstreetmap.org/node/2602885421,2602885421,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4302/monterey-ca-93940/,anytimefitness.com,Monterey,CA,gyms,+1 831-373-1234,"",openstreetmap,https://www.openstreetmap.org/node/9277048737,9277048737,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4649/aptos-ca-95003/,anytimefitness.com,Aptos,CA,gyms,+1 831-662-1977,"",openstreetmap,https://www.openstreetmap.org/node/11145489988,11145489988,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3525/fairfield-ca-94533/,anytimefitness.com,Fairfield,CA,gyms,+1 707-673-4244,"",openstreetmap,https://www.openstreetmap.org/node/10062490111,10062490111,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/4557/vacaville-ca-95687/,anytimefitness.com,Vacaville,CA,gyms,+1 707-685-8000,"",openstreetmap,https://www.openstreetmap.org/node/10067495444,10067495444,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2894/san-juan-capistrano-ca-92675/,anytimefitness.com,San Juan Capistrano,CA,gyms,+1 949-481-2220,"",openstreetmap,https://www.openstreetmap.org/node/2993126507,2993126507,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2799/gilroy-ca-95020/,anytimefitness.com,Gilroy,CA,gyms,+1 408-846-4222,GilroyCA@anytimefitness.com,openstreetmap,https://www.openstreetmap.org/node/12335467136,12335467136,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2022/susanville-ca-96130/,anytimefitness.com,Susanville,CA,gyms,+1 530-257-7770,"",openstreetmap,https://www.openstreetmap.org/node/8336552957,8336552957,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/2835/rancho-cordova-ca-95670/,anytimefitness.com,Rancho Cordova,CA,gyms,+1 916-706-0090,"",openstreetmap,https://www.openstreetmap.org/node/5380539061,5380539061,2026-04-28 07:53:43.650201
Anytime Fitness,https://www.anytimefitness.com/gyms/3919/chula-vista-ca-91914/,anytimefitness.com,Chula Vista,CA,gyms,+1 619-796-7777,"",openstreetmap,https://www.openstreetmap.org/node/10170216865,10170216865,2026-04-28 07:53:43.650201
Art Of Living Yoga & Meditation Center,https://www.artofliving.org/us-en/santa-clara,artofliving.org,Santa Clara,"",gyms,+1-408-365-4265,"",openstreetmap,https://www.openstreetmap.org/node/11134803558,11134803558,2026-04-28 07:53:43.650201
Aspen Fitness 24-7,https://www.aspenfitness247.com/,aspenfitness247.com,Riverbank,CA,gyms,+1-209-869-4916,"",openstreetmap,https://www.openstreetmap.org/node/1168780108,1168780108,2026-04-28 07:53:43.650201
Athletic Goal Club,https://i56178.wixsite.com/athleticgoalclub,i56178.wixsite.com,Bakersfield,CA,gyms,+1-661-456-7890,"",openstreetmap,https://www.openstreetmap.org/node/11959064734,11959064734,2026-04-28 07:53:43.650201
Athlon Health and Fitness,athlonhealth.com,athlonhealth.com,"","",gyms,+1-805-226-0975,"",openstreetmap,https://www.openstreetmap.org/node/5284757340,5284757340,2026-04-28 07:53:43.650201
Auburn Racquet & Fitness Club,https://www.ar-fc.com,ar-fc.com,Auburn,CA,gyms,+1-530-885-1602,"",openstreetmap,https://www.openstreetmap.org/node/1027496402,1027496402,2026-04-28 07:53:43.650201
Aura Yoga,https://www.auraworkout.com,auraworkout.com,West Hollywood,CA,gyms,+1-323-570-0570,aura@aurayoga.com,openstreetmap,https://www.openstreetmap.org/node/5133454764,5133454764,2026-04-28 07:53:43.650201
Avenir-LA,https://www.avenir-la.com,avenir-la.com,Los Angeles,CA,gyms,+1-213-921-0900,"",openstreetmap,https://www.openstreetmap.org/node/11422913203,11422913203,2026-04-28 07:53:43.650201
Axe Thro Company,https://axethroco.com,axethroco.com,San Diego,CA,gyms,+1 619-719-5593,"",openstreetmap,https://www.openstreetmap.org/node/12128721587,12128721587,2026-04-28 07:53:43.650201
BE Fit Modern Pilates - SD Downtown East Village,https://befitmp.com/,befitmp.com,San Diego,CA,gyms,+1-619-780-3313,"",openstreetmap,https://www.openstreetmap.org/node/9339501291,9339501291,2026-04-28 07:53:43.650201
Balance Yoga Center,https://www.balanceyogacenteronline.com/,balanceyogacenteronline.com,San Jose,CA,gyms,+1-408-326-0200,"",openstreetmap,https://www.openstreetmap.org/node/11781972603,11781972603,2026-04-28 07:53:43.650201
Balanced Motions,https://www.balancedmotions.com/,balancedmotions.com,San Jose,CA,gyms,+1-408-250-1595,"",openstreetmap,https://www.openstreetmap.org/node/8691856585,8691856585,2026-04-28 07:53:43.650201
Barre Defined,https://www.barredefinedturlock.com/,barredefinedturlock.com,Turlock,CA,gyms,+1 209 250 2806,info@barredefinedturlock.com,openstreetmap,https://www.openstreetmap.org/node/12663491388,12663491388,2026-04-28 07:53:43.650201
Barre3,https://barre3.com/studio-locations/laguna-niguel,barre3.com,Laguna Niguel,CA,gyms,+1-949-328-9633,"",openstreetmap,https://www.openstreetmap.org/node/5504521896,5504521896,2026-04-28 07:53:43.650201
Barrel Up Training Facility,https://www.barreluptrainingfacility.com/,barreluptrainingfacility.com,Belmont,CA,gyms,+1-650-394-4707,"",openstreetmap,https://www.openstreetmap.org/node/10560436018,10560436018,2026-04-28 07:53:43.650201
Barry's,https://www.barrys.com/studio/santana-row/,barrys.com,San Jose,CA,gyms,+1 408-345-0382,"",openstreetmap,https://www.openstreetmap.org/node/12121209450,12121209450,2026-04-28 07:53:43.650201
Barry's,https://www.barrys.com/studio/castro/,barrys.com,San Francisco,CA,gyms,+1 415-800-7065,castro@barrys.com,openstreetmap,https://www.openstreetmap.org/node/6496142801,6496142801,2026-04-28 07:53:43.650201
